Designator,Footprint,Quantity,Value,LCSC Part #
"C1, C2",0805,2,0.1u,
D1,LED_WS2812B_PLCC4_5.0x5.0mm_P3.2mm,1,USR_LED1,
D2,LED_WS2812B_PLCC4_5.0x5.0mm_P3.2mm,1,USR_LED2,
J1,PinSocket_1x11_P2.54mm_Vertical,1,Left_Bank_Free_Socket,
J2,PinSocket_1x11_P2.54mm_Vertical,1,Left_Bank_Board_Socket,
J3,PinSocket_1x04_P2.54mm_Vertical,1,STLink_Board_Conn,
J4,PinSocket_1x12_P2.54mm_Vertical,1,Right_Bank_Board_Socket,
J5,PinSocket_1x12_P2.54mm_Vertical,1,Right_Bank_Free_Socket,
J6,SAMTEC_FTSH-107-01-L-DV-K-TR,1,FTSH-107-01-L-DV-K-TR,
JP1,PinHeader_1x02_P2.54mm_Vertical,1,POT_JMP,
JP2,PinHeader_1x02_P2.54mm_Vertical,1,BTN_JMP,
JP3,PinHeader_1x02_P2.54mm_Vertical,1,LED_JMP,
RV1,Potentiometer_Alps_RK09K_Single_Vertical,1,USR_POT,
SW1,SW_PUSH-12mm,1,USR_BTN,
U1,SOT-143,1,MAX6816,
